"","upi_bank","cvol_mn","cval_cr","vol_mn","val_cr","month"
"253","ICICI Bank Apps",28.81,8742.96,31.99,8921.76,"Dec"
"254","ICICI Bank Apps",25.74,7049.36,29.14,7246.75,"Nov"
"255","ICICI Bank Apps",26.24,6167.22,29.27,6329.63,"Oct"
"256","ICICI Bank Apps",18.86,6395.93,22.11,6579.65,"Sep"
"257","ICICI Bank Apps",17.55,5476.78,19.81,5621.27,"Aug"
"258","ICICI Bank Apps",15.41,5761.98,18.26,5896.05,"Jul"
"259","ICICI Bank Apps",12.94,4958.01,15.29,5076.12,"Jun"
"260","ICICI Bank Apps",10.95,4411.52,13.16,4514.11,"May"
"261","ICICI Bank Apps",10.76,3672.3,14.37,3827.95,"Apr"
"262","ICICI Bank Apps",9.95,3703.08,13.95,3823.36,"Mar"
"263","ICICI Bank Apps",7.63,2393.8,9.93,2477.23,"Feb"
"264","ICICI Bank Apps",6.22,1835.97,10.46,1984.07,"Jan"
"265","IDBI Bank App",0.02,11.34,0.02,11.34,"Dec"
"266","IDBI Bank App",0.03,13.31,0.03,13.31,"Nov"
"267","IDBI Bank App",0.03,14.22,0.03,14.22,"Oct"
"268","IDBI Bank App",0.02,12,0.02,12,"Sep"
"269","IDBI Bank App",0.03,11.26,0.03,11.26,"Aug"
"270","IDBI Bank App",0.02,11.24,0.02,11.24,"Jul"
"271","IDBI Bank App",0.02,10.86,0.02,10.86,"Jun"
"272","IDBI Bank App",0.02,10.36,0.02,10.36,"May"
"273","IDBI Bank App",0.02,9.59,0.02,9.59,"Apr"
"274","IDBI Bank App",0.02,9.68,0.02,9.68,"Mar"
"275","IDBI Bank App",0.02,9.15,0.02,9.15,"Feb"
"276","IDBI Bank App",0.02,9.18,0.02,9.18,"Jan"
"277","IDFC Bank App",0.9,278.53,0.9,278.53,"Dec"
"278","IDFC Bank App",0.64,237.83,0.64,237.83,"Nov"
"279","IDFC Bank App",0.62,231.02,0.62,231.02,"Oct"
"280","IDFC Bank App",0.49,181.96,0.49,181.96,"Sep"
"281","IDFC Bank App",0.4,155.19,0.4,155.19,"Aug"
"282","IDFC Bank App",0.3,130.1,0.3,130.1,"Jul"
"283","IDFC Bank App",0.21,101.74,0.21,101.74,"Jun"
"284","IDFC Bank App",0.15,72.34,0.15,72.34,"May"
"285","IDFC Bank App",0.15,65.23,0.15,65.23,"Apr"
"286","IDFC Bank App",0.13,60.84,0.13,60.84,"Mar"
"287","IDFC Bank App",0.1,47.09,0.1,47.09,"Feb"
"288","IDFC Bank App",0.08,41.87,0.08,41.87,"Jan"
"289","India Post Payments Bank App",2.76,321.16,2.76,321.16,"Dec"
"290","India Post Payments Bank App",2.3,286.07,2.3,286.07,"Nov"
"291","India Post Payments Bank App",2.39,291.7,2.39,291.7,"Oct"
"292","India Post Payments Bank App",2.28,267.94,2.28,267.94,"Sep"
"293","India Post Payments Bank App",2,255.16,2,255.16,"Aug"
"294","India Post Payments Bank App",1.79,231.52,1.79,231.52,"Jul"
"295","India Post Payments Bank App",1.47,203.73,1.47,203.73,"Jun"
"296","India Post Payments Bank App",1.29,178.52,1.29,178.52,"May"
"297","India Post Payments Bank App",1.32,174.08,1.32,174.08,"Apr"
"298","India Post Payments Bank App",1.21,167.52,1.21,167.52,"Mar"
"299","India Post Payments Bank App",1.23,145.46,1.23,145.46,"Feb"
"300","India Post Payments Bank App",1.08,123.25,1.08,123.25,"Jan"
"301","Indian Bank App",0.12,42.71,0.12,42.71,"Dec"
"302","Indian Bank App",0.09,37.77,0.09,37.77,"Nov"
"303","Indian Bank App",0.09,38.84,0.09,38.84,"Oct"
"304","Indian Bank App",0.08,35.34,0.08,35.34,"Sep"
"305","Indian Bank App",0.08,34.46,0.08,34.46,"Aug"
"306","Indian Bank App",0.08,33.52,0.08,33.52,"Jul"
"307","Indian Bank App",0.05,25.18,0.05,25.18,"Jun"
"308","Indian Bank App",0.06,26.84,0.06,26.84,"May"
"309","Indian Bank App",0.06,24.13,0.06,24.13,"Apr"
"310","Indian Bank App",0.09,34.1,0.09,34.1,"Mar"
"311","Indian Bank App",0.05,12.38,0.05,12.38,"Feb"
"312","Indian Bank App",0.02,5.77,0.02,5.77,"Jan"
"313","IndusInd Bank App",1.19,1269.16,1.19,1269.16,"Dec"
"314","IndusInd Bank App",1.1,1407.31,1.1,1407.31,"Nov"
"315","IndusInd Bank App",1.05,1014.56,1.05,1014.56,"Oct"
"316","IndusInd Bank App",0.33,532.43,0.33,532.43,"Sep"
"317","IndusInd Bank App",0.52,570.21,0.52,570.21,"Aug"
"318","IndusInd Bank App",2.18,458.06,2.18,458.06,"Jul"
"319","IndusInd Bank App",2.18,421.41,2.18,421.41,"Jun"
"320","IndusInd Bank App",3.12,433.37,3.12,433.37,"May"
"321","IndusInd Bank App",4.2,654.49,4.2,654.49,"Apr"
